Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite,Chrome 114.0.0.0,,,2023-07-10 14:03:30,2023-07-10 14:03:58,"28,284s",PASSED
,,,,,,,
Test Cases/Scenarios,Chrome 114.0.0.0,,,2023-07-10 14:03:30,2023-07-10 14:03:58,"28,082s",PASSED
"runFeatureFile(""Include/features/Escenarios.feature"")",Chrome 114.0.0.0,,,2023-07-10 14:03:30,2023-07-10 14:03:58,"28,012s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-10 14:03:58,2023-07-10 14:03:58,"0,003s",PASSED
